,no rank,superkingdom,order,family,genus,species,subfamily,phylum,subphylum,class
BP12_NODE_61_length_1846_cov_0_577391,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Apis rhabdovirus 2,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BP12_NODE_87_length_1506_cov_0_576895,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Apis rhabdovirus 2,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BP13_NODE_35_length_734_cov_0_216966,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Parus major densovirus,Densovirinae,Unclassified,Unclassified,Unclassified
BP14_NODE_29_length_782_cov_0_491679,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP14_NODE_39_length_707_cov_0_122867,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP14_NODE_3_length_2120_cov_1_402201,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Limbe picobirna-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_104_length_1154_cov_0_493708,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_105_length_1152_cov_1_357905,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_119_length_1084_cov_0_457944,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_122_length_1079_cov_0_449896,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_124_length_1067_cov_2_100423,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_129_length_1047_cov_0_571274,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_130_length_1044_cov_0_600217,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_132_length_1028_cov_2_038589,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_142_length_997_cov_0_331050,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_14_length_2188_cov_1_108853,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_159_length_955_cov_0_803357,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_163_length_952_cov_0_407942,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_168_length_943_cov_0_406326,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_176_length_923_cov_0_677057,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_177_length_922_cov_2_249688,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_17_length_2029_cov_1_376310,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_184_length_912_cov_2_384324,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_185_length_908_cov_0_790343,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_194_length_895_cov_0_934109,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_197_length_887_cov_2_682768,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_198_length_887_cov_0_698433,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_206_length_875_cov_0_481432,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_208_length_874_cov_0_633466,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Unclassified,Densovirinae,Unclassified,Unclassified,Unclassified
BP15_NODE_21_length_1989_cov_11_700214,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 4,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_227_length_840_cov_0_695410,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_239_length_826_cov_0_625532,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_261_length_787_cov_0_747748,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_271_length_773_cov_0_501534,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_273_length_771_cov_1_112308,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_287_length_755_cov_0_388013,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_289_length_753_cov_0_968354,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_298_length_744_cov_1_359551,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_29_length_1662_cov_0_990915,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_326_length_708_cov_1_574106,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_349_length_690_cov_0_347979,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_353_length_683_cov_0_460854,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_359_length_679_cov_0_060932,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_368_length_668_cov_0_751371,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_36_length_1579_cov_0_982853,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_371_length_662_cov_0_887246,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_373_length_660_cov_0_497217,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_378_length_657_cov_0_919776,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_384_length_647_cov_3_146388,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_405_length_628_cov_6_258383,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_420_length_619_cov_0_797189,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_42_length_1550_cov_0_890133,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_433_length_614_cov_0_119675,all,Vira,Ortervirales,Retroviridae,Lentivirinae,AIDS virus,Orthoretrovirinae,Unclassified,Unclassified,Unclassified
BP15_NODE_435_length_612_cov_0_283096,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_447_length_600_cov_0_964509,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_452_length_599_cov_0_150628,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_456_length_596_cov_1_124211,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_462_length_593_cov_0_391949,RNA viruses,Vira,Picornavirales,Dicistroviridae,Triatovirus,Black queen cell virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_470_length_589_cov_0_470085,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_471_length_589_cov_0_211538,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_472_length_588_cov_0_483940,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_476_length_586_cov_1_204301,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_485_length_582_cov_0_748373,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_487_length_580_cov_0_309368,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_490_length_578_cov_1_446389,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_491_length_578_cov_0_306346,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_49_length_1461_cov_1_601493,RNA viruses,Vira,Picornavirales,Dicistroviridae,Triatovirus,Black queen cell virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_507_length_569_cov_1_636161,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_509_length_568_cov_0_266219,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_50_length_1460_cov_1_559373,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_511_length_567_cov_0_179372,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_515_length_565_cov_1_018018,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_516_length_565_cov_0_412162,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_520_length_562_cov_0_727891,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_521_length_562_cov_0_716553,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_524_length_560_cov_1_031891,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_532_length_557_cov_0_401376,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_547_length_546_cov_0_868235,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_551_length_545_cov_0_632075,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_552_length_544_cov_0_633570,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_554_length_543_cov_0_400474,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_55_length_1417_cov_1_386574,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_567_length_534_cov_0_624697,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_576_length_530_cov_0_491443,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_589_length_525_cov_1_611386,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_58_length_1408_cov_1_141414,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_595_length_521_cov_0_397500,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_604_length_515_cov_0_335025,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_622_length_508_cov_0_385013,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_623_length_507_cov_0_383420,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_62_length_1378_cov_1_307876,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_70_length_1332_cov_1_065235,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_81_length_1278_cov_0_366465,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_82_length_1270_cov_1_711923,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_85_length_1250_cov_0_611160,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP15_NODE_97_length_1182_cov_0_886899,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP16_NODE_62_length_623_cov_0_119522,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP16_NODE_77_length_552_cov_0_837587,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Unclassified,Densovirinae,Unclassified,Unclassified,Unclassified
BP17_NODE_202_length_589_cov_0_117521,RNA viruses,Vira,Unclassified,Partitiviridae,Betacryptovirus,Crimson clover cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP17_NODE_29_length_1947_cov_0_439759,Thyrinteina arnobia cypovirus 14,Vira,Unclassified,Reoviridae,CPV,Cypovirus 14,Spinareovirinae,Unclassified,Unclassified,Unclassified
BP18_NODE_193_length_805_cov_1_011696,RNA viruses,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,DWV,Unclassified,Unclassified,Unclassified,Unclassified
BP18_NODE_19_length_2225_cov_1_043726,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP18_NODE_272_length_664_cov_0_309392,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP18_NODE_300_length_626_cov_0_287129,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_104_length_2098_cov_0_922104,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_1050_length_505_cov_0_315104,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_1053_length_505_cov_0_106771,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Grasshopper associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_109_length_1993_cov_0_775641,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_117_length_1890_cov_1_162239,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_122_length_1871_cov_0_631429,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_138_length_1800_cov_0_771888,unclassified Gemycircularvirus,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Gemycircularvirus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_148_length_1740_cov_0_550957,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_153_length_1685_cov_1_237852,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_154_length_1656_cov_0_811075,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_159_length_1619_cov_1_450601,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_165_length_1584_cov_0_585783,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_167_length_1568_cov_1_534900,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_168_length_1557_cov_0_753482,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_170_length_1548_cov_0_874562,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_182_length_1495_cov_0_634643,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_192_length_1467_cov_1_213224,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_194_length_1463_cov_0_632638,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_220_length_1355_cov_1_068882,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_230_length_1334_cov_1_150866,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_233_length_1329_cov_1_110099,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_243_length_1301_cov_1_230508,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
