BP15_NODE_82_length_1270_cov_1_711923	1270
BP15_NODE_85_length_1250_cov_0_611160	1250
BP15_NODE_97_length_1182_cov_0_886899	1182
BP15_NODE_104_length_1154_cov_0_493708	1154
BP15_NODE_105_length_1152_cov_1_357905	1152
BP15_NODE_119_length_1084_cov_0_457944	1084
BP15_NODE_122_length_1079_cov_0_449896	1079
BP15_NODE_124_length_1067_cov_2_100423	1067
BP15_NODE_129_length_1047_cov_0_571274	1047
BP15_NODE_130_length_1044_cov_0_600217	1044
BP15_NODE_132_length_1028_cov_2_038589	1028
BP15_NODE_142_length_997_cov_0_331050	997
BP15_NODE_159_length_955_cov_0_803357	955
BP15_NODE_163_length_952_cov_0_407942	952
BP15_NODE_168_length_943_cov_0_406326	943
BP15_NODE_176_length_923_cov_0_677057	923
BP15_NODE_177_length_922_cov_2_249688	922
BP15_NODE_184_length_912_cov_2_384324	912
BP15_NODE_185_length_908_cov_0_790343	908
BP15_NODE_194_length_895_cov_0_934109	895
BP15_NODE_197_length_887_cov_2_682768	887
BP15_NODE_198_length_887_cov_0_698433	887
BP15_NODE_206_length_875_cov_0_481432	875
BP15_NODE_208_length_874_cov_0_633466	874
BP15_NODE_227_length_840_cov_0_695410	840
BP15_NODE_239_length_826_cov_0_625532	826
BP15_NODE_261_length_787_cov_0_747748	787
BP15_NODE_271_length_773_cov_0_501534	773
BP15_NODE_273_length_771_cov_1_112308	771
BP15_NODE_287_length_755_cov_0_388013	755
BP15_NODE_289_length_753_cov_0_968354	753
BP15_NODE_298_length_744_cov_1_359551	744
BP15_NODE_326_length_708_cov_1_574106	708
BP15_NODE_349_length_690_cov_0_347979	690
BP15_NODE_353_length_683_cov_0_460854	683
BP15_NODE_359_length_679_cov_0_060932	679
BP15_NODE_368_length_668_cov_0_751371	668
BP15_NODE_371_length_662_cov_0_887246	662
BP15_NODE_373_length_660_cov_0_497217	660
BP15_NODE_378_length_657_cov_0_919776	657
BP15_NODE_384_length_647_cov_3_146388	647
BP15_NODE_405_length_628_cov_6_258383	628
BP15_NODE_420_length_619_cov_0_797189	619
BP15_NODE_433_length_614_cov_0_119675	614
BP15_NODE_435_length_612_cov_0_283096	612
BP15_NODE_447_length_600_cov_0_964509	600
BP15_NODE_452_length_599_cov_0_150628	599
BP15_NODE_456_length_596_cov_1_124211	596
BP15_NODE_462_length_593_cov_0_391949	593
BP15_NODE_470_length_589_cov_0_470085	589
BP15_NODE_472_length_588_cov_0_483940	588
BP15_NODE_476_length_586_cov_1_204301	586
BP15_NODE_485_length_582_cov_0_748373	582
BP15_NODE_487_length_580_cov_0_309368	580
BP15_NODE_490_length_578_cov_1_446389	578
BP15_NODE_491_length_578_cov_0_306346	578
BP15_NODE_507_length_569_cov_1_636161	569
BP15_NODE_509_length_568_cov_0_266219	568
BP15_NODE_511_length_567_cov_0_179372	567
BP15_NODE_515_length_565_cov_1_018018	565
BP15_NODE_516_length_565_cov_0_412162	565
BP15_NODE_520_length_562_cov_0_727891	562
BP15_NODE_524_length_560_cov_1_031891	560
BP15_NODE_532_length_557_cov_0_401376	557
BP15_NODE_547_length_546_cov_0_868235	546
BP15_NODE_551_length_545_cov_0_632075	545
BP15_NODE_552_length_544_cov_0_633570	544
BP15_NODE_554_length_543_cov_0_400474	543
BP15_NODE_567_length_534_cov_0_624697	534
BP15_NODE_576_length_530_cov_0_491443	530
BP15_NODE_589_length_525_cov_1_611386	525
BP15_NODE_595_length_521_cov_0_397500	521
BP15_NODE_604_length_515_cov_0_335025	515
BP15_NODE_622_length_508_cov_0_385013	508
BP15_NODE_623_length_507_cov_0_383420	507
BP16_NODE_62_length_623_cov_0_119522	623
BP16_NODE_77_length_552_cov_0_837587	552
BP17_NODE_29_length_1947_cov_0_439759	1947
BP17_NODE_202_length_589_cov_0_117521	589
BP18_NODE_19_length_2225_cov_1_043726	2225
BP18_NODE_272_length_664_cov_0_309392	664
BP18_NODE_300_length_626_cov_0_287129	626
BP19_NODE_29_length_3930_cov_1_306380	3930
BP19_NODE_42_length_3505_cov_1_017435	3505
BP19_NODE_46_length_3327_cov_0_839364	3327
BP19_NODE_48_length_3295_cov_0_818526	3295
BP19_NODE_65_length_2873_cov_1_979651	2873
BP19_NODE_68_length_2839_cov_0_811994	2839
BP19_NODE_72_length_2709_cov_0_531298	2709
BP19_NODE_78_length_2527_cov_1_205320	2527
BP19_NODE_82_length_2450_cov_0_956634	2450
BP19_NODE_86_length_2405_cov_1_498249	2405
BP19_NODE_104_length_2098_cov_0_922104	2098
BP19_NODE_109_length_1993_cov_0_775641	1993
BP19_NODE_117_length_1890_cov_1_162239	1890
BP19_NODE_122_length_1871_cov_0_631429	1871
BP19_NODE_138_length_1800_cov_0_771888	1800
BP19_NODE_148_length_1740_cov_0_550957	1740
BP19_NODE_153_length_1685_cov_1_237852	1685
BP19_NODE_154_length_1656_cov_0_811075	1656
BP19_NODE_159_length_1619_cov_1_450601	1619
BP19_NODE_165_length_1584_cov_0_585783	1584
BP19_NODE_167_length_1568_cov_1_534900	1568
BP19_NODE_168_length_1557_cov_0_753482	1557
BP19_NODE_170_length_1548_cov_0_874562	1548
BP19_NODE_182_length_1495_cov_0_634643	1495
BP19_NODE_192_length_1467_cov_1_213224	1467
BP19_NODE_194_length_1463_cov_0_632638	1463
BP19_NODE_220_length_1355_cov_1_068882	1355
BP19_NODE_230_length_1334_cov_1_150866	1334
BP19_NODE_233_length_1329_cov_1_110099	1329
BP19_NODE_243_length_1301_cov_1_230508	1301
BP19_NODE_244_length_1301_cov_0_626271	1301
BP19_NODE_246_length_1287_cov_1_408233	1287
BP19_NODE_270_length_1239_cov_0_862254	1239
BP19_NODE_276_length_1212_cov_1_307058	1212
BP19_NODE_277_length_1209_cov_2_000919	1209
BP19_NODE_295_length_1169_cov_0_703244	1169
BP19_NODE_301_length_1154_cov_1_623427	1154
BP19_NODE_319_length_1104_cov_0_928789	1104
BP19_NODE_333_length_1078_cov_0_537095	1078
BP19_NODE_347_length_1065_cov_0_443856	1065
BP19_NODE_359_length_1029_cov_0_362335	1029
BP19_NODE_367_length_1022_cov_0_605993	1022
BP19_NODE_372_length_1013_cov_0_755605	1013
BP19_NODE_387_length_992_cov_0_458094	992
BP19_NODE_396_length_978_cov_0_456243	978
BP19_NODE_401_length_971_cov_0_224706	971
BP19_NODE_403_length_966_cov_0_978698	966
BP19_NODE_438_length_909_cov_1_305838	909
BP19_NODE_464_length_880_cov_0_367589	880
BP19_NODE_499_length_833_cov_0_445225	833
BP19_NODE_588_length_735_cov_0_472313	735
BP19_NODE_613_length_714_cov_0_548061	714
BP19_NODE_625_length_707_cov_0_684300	707
BP19_NODE_634_length_701_cov_0_743103	701
BP19_NODE_637_length_700_cov_0_150259	700
BP19_NODE_650_length_692_cov_0_304729	692
BP19_NODE_678_length_674_cov_1_708861	674
BP19_NODE_682_length_672_cov_0_257713	672
BP19_NODE_727_length_652_cov_0_623352	652
BP19_NODE_755_length_633_cov_0_333984	633
BP19_NODE_784_length_621_cov_0_154000	621
BP19_NODE_834_length_595_cov_0_286920	595
BP19_NODE_838_length_591_cov_0_878723	591
BP19_NODE_975_length_534_cov_0_200969	534
BP19_NODE_996_length_525_cov_0_596535	525
BP19_NODE_998_length_524_cov_0_486352	524
BP19_NODE_1050_length_505_cov_0_315104	505
BP19_NODE_1053_length_505_cov_0_106771	505
BP1_NODE_62_length_1804_cov_0_265003	1804
BP1_NODE_287_length_991_cov_1_026437	991
BP1_NODE_386_length_869_cov_0_372995	869
BP1_NODE_503_length_784_cov_0_202112	784
BP1_NODE_684_length_688_cov_0_352734	688
BP1_NODE_856_length_624_cov_0_469185	624
BP1_NODE_1194_length_553_cov_0_358796	553
BP1_NODE_1474_length_504_cov_0_639687	504
BP20_NODE_3_length_2610_cov_2_281237	2610
BP20_NODE_8_length_1986_cov_1_120643	1986
BP20_NODE_142_length_584_cov_0_425486	584
BP21_NODE_5_length_2609_cov_3_722669	2609
BP21_NODE_27_length_1346_cov_0_448163	1346
BP21_NODE_28_length_1335_cov_1_837727	1335
BP21_NODE_30_length_1313_cov_13_792785	1313
BP21_NODE_76_length_799_cov_1_123894	799
BP21_NODE_78_length_742_cov_0_330113	742
BP21_NODE_90_length_647_cov_0_408745	647
BP21_NODE_122_length_556_cov_0_528736	556
BP22_NODE_2_length_3682_cov_1242_816905	3682
BP22_NODE_5_length_2257_cov_543_636236	2257
BP22_NODE_6_length_2191_cov_4_574396	2191
BP22_NODE_7_length_1981_cov_0_829570	1981
BP23_NODE_31_length_5100_cov_72_148022	5100
BP23_NODE_38_length_4464_cov_0_668432	4464
BP23_NODE_43_length_4149_cov_1_415094	4149
BP23_NODE_73_length_2987_cov_1_240405	2987
BP23_NODE_89_length_2521_cov_1_061250	2521
BP23_NODE_105_length_2325_cov_2_703721	2325
BP23_NODE_106_length_2322_cov_7_229441	2322
BP23_NODE_112_length_2217_cov_0_478053	2217
BP23_NODE_131_length_2024_cov_1_120336	2024
BP23_NODE_141_length_1960_cov_0_245786	1960
BP23_NODE_154_length_1821_cov_1_175882	1821
BP23_NODE_181_length_1578_cov_4_697323	1578
BP23_NODE_183_length_1569_cov_0_241022	1569
BP23_NODE_185_length_1550_cov_1_178446	1550
BP23_NODE_189_length_1521_cov_2_165000	1521
BP23_NODE_192_length_1510_cov_0_303816	1510
BP23_NODE_207_length_1424_cov_1_077513	1424
BP23_NODE_217_length_1383_cov_1_278130	1383
BP23_NODE_252_length_1247_cov_0_428064	1247
BP23_NODE_253_length_1245_cov_0_413701	1245
BP23_NODE_297_length_1142_cov_0_589618	1142
BP23_NODE_300_length_1138_cov_1_238938	1138
BP23_NODE_330_length_1087_cov_0_469979	1087
BP23_NODE_435_length_940_cov_0_526252	940
BP23_NODE_439_length_935_cov_0_490172	935
BP23_NODE_456_length_920_cov_1_005006	920
BP23_NODE_511_length_857_cov_0_369565	857
BP23_NODE_528_length_846_cov_0_355862	846
BP23_NODE_544_length_830_cov_1_101551	830
BP23_NODE_545_length_829_cov_0_423729	829
BP23_NODE_579_length_800_cov_0_963181	800
BP23_NODE_598_length_785_cov_0_887048	785
BP23_NODE_607_length_777_cov_0_442073	777
BP23_NODE_637_length_760_cov_0_987480	760
BP23_NODE_682_length_735_cov_0_237785	735
BP23_NODE_702_length_723_cov_0_372093	723
BP23_NODE_728_length_707_cov_0_409556	707
BP23_NODE_737_length_701_cov_0_355172	701
BP23_NODE_772_length_680_cov_0_132379	680
BP23_NODE_784_length_676_cov_0_524324	676
BP23_NODE_840_length_653_cov_0_259398	653
BP23_NODE_856_length_649_cov_0_573864	649
BP23_NODE_862_length_646_cov_0_300952	646
BP23_NODE_875_length_639_cov_0_511583	639
BP23_NODE_910_length_628_cov_0_347140	628
BP23_NODE_913_length_627_cov_0_610672	627
BP23_NODE_926_length_622_cov_0_385230	622
BP23_NODE_957_length_608_cov_0_217659	608
BP23_NODE_963_length_607_cov_0_102881	607
BP23_NODE_1019_length_591_cov_0_244681	591
BP23_NODE_1067_length_579_cov_0_491266	579
BP23_NODE_1093_length_572_cov_0_246120	572
BP23_NODE_1121_length_563_cov_0_538462	563
BP23_NODE_1124_length_562_cov_0_301587	562
BP23_NODE_1134_length_560_cov_0_216401	560
BP23_NODE_1149_length_557_cov_0_229358	557
BP23_NODE_1169_length_553_cov_0_180556	553
BP23_NODE_1197_length_548_cov_0_126464	548
BP23_NODE_1260_length_536_cov_0_146988	536
BP23_NODE_1272_length_533_cov_0_830097	533
BP23_NODE_1310_length_523_cov_0_159204	523
BP23_NODE_1403_length_505_cov_0_218750	505
BP24_NODE_8_length_4812_cov_7_688126	4812
BP24_NODE_11_length_4586_cov_6_044121	4586
BP24_NODE_31_length_3515_cov_13_156747	3515
BP24_NODE_74_length_2525_cov_5_233777	2525
BP24_NODE_96_length_2290_cov_1_137391	2290
BP24_NODE_114_length_2159_cov_0_570167	2159
BP24_NODE_205_length_1770_cov_1_607641	1770
BP24_NODE_270_length_1616_cov_4_120401	1616
BP24_NODE_402_length_1410_cov_13_056633	1410
BP24_NODE_478_length_1330_cov_2_703888	1330
BP24_NODE_529_length_1273_cov_0_689236	1273
BP24_NODE_731_length_1143_cov_0_545988	1143
BP24_NODE_960_length_1010_cov_0_564679	1010
BP24_NODE_1067_length_968_cov_0_421488	968
BP24_NODE_1139_length_939_cov_0_667482	939
BP24_NODE_1348_length_881_cov_0_488158	881
BP24_NODE_1355_length_880_cov_0_212121	880
BP24_NODE_1437_length_860_cov_0_583221	860
BP24_NODE_1492_length_849_cov_0_961538	849
BP24_NODE_1499_length_848_cov_0_306740	848
BP24_NODE_1533_length_841_cov_0_700000	841
BP24_NODE_1585_length_831_cov_0_274648	831
BP24_NODE_1633_length_822_cov_0_191155	822
BP24_NODE_1845_length_785_cov_0_399096	785
BP24_NODE_1848_length_784_cov_1_093514	784
BP24_NODE_2061_length_751_cov_0_480952	751
BP24_NODE_2132_length_739_cov_0_315534	739
BP24_NODE_2197_length_731_cov_0_268852	731
BP24_NODE_2494_length_696_cov_0_269565	696
BP24_NODE_2533_length_691_cov_1_396491	691
BP24_NODE_2571_length_687_cov_0_224382	687
BP24_NODE_2664_length_677_cov_0_302158	677
BP24_NODE_2797_length_662_cov_0_136784	662
BP24_NODE_2994_length_644_cov_0_279159	644
BP24_NODE_3209_length_624_cov_0_367793	624
BP24_NODE_3241_length_622_cov_0_067864	622
BP24_NODE_3270_length_619_cov_0_477912	619
BP24_NODE_3299_length_617_cov_0_213710	617
BP24_NODE_3305_length_616_cov_0_240404	616
BP24_NODE_3458_length_603_cov_0_360996	603
BP24_NODE_3489_length_600_cov_0_459290	600
BP24_NODE_3793_length_578_cov_0_218818	578
BP24_NODE_3800_length_578_cov_0_113786	578
BP24_NODE_3827_length_576_cov_0_285714	576
BP24_NODE_3830_length_576_cov_0_191209	576
BP24_NODE_4292_length_548_cov_0_831382	548
BP24_NODE_4417_length_541_cov_13_502381	541
BP24_NODE_4691_length_529_cov_0_578431	529
BP24_NODE_4724_length_528_cov_0_228501	528
BP24_NODE_5129_length_510_cov_0_313625	510
BP24_NODE_5238_length_505_cov_0_429688	505
BP24_NODE_5240_length_505_cov_0_361979	505
BP24_NODE_5247_length_505_cov_0_296875	505
BP24_NODE_5298_length_503_cov_0_387435	503
BP25_NODE_4_length_10404_cov_2331_755130	10404
BP25_NODE_54_length_1359_cov_0_194669	1359
BP25_NODE_153_length_764_cov_0_544323	764
BP26_NODE_7_length_3632_cov_1_826545	3632
BP26_NODE_275_length_578_cov_0_407002	578
BP27_NODE_33_length_2592_cov_6_323756	2592
BP27_NODE_104_length_1514_cov_0_601579	1514
BP27_NODE_124_length_1410_cov_0_365400	1410
BP27_NODE_159_length_1183_cov_0_316384	1183
BP27_NODE_226_length_974_cov_0_219226	974
BP27_NODE_314_length_784_cov_0_199095	784
BP27_NODE_393_length_662_cov_0_817006	662
BP27_NODE_441_length_616_cov_0_197980	616
BP27_NODE_498_length_572_cov_0_181818	572
BP27_NODE_526_length_551_cov_0_237209	551
BP27_NODE_541_length_540_cov_0_572792	540
BP27_NODE_556_length_531_cov_0_200000	531
BP29_NODE_80_length_669_cov_0_563869	669
BP29_NODE_129_length_529_cov_0_362745	529
BP29_NODE_137_length_521_cov_0_142500	521
BP2_NODE_11_length_2442_cov_8_707023	2442
BP2_NODE_157_length_807_cov_0_395044	807
BP31_NODE_26_length_2319_cov_1_322566	2319
BP31_NODE_38_length_2038_cov_1_361502	2038
BP31_NODE_41_length_1930_cov_17_934771	1930
BP31_NODE_43_length_1912_cov_4_266890	1912
BP31_NODE_119_length_1143_cov_1_047945	1143
BP31_NODE_1960_length_628_cov_0_307692	628
BP31_NODE_3494_length_561_cov_0_313636	561
BP31_NODE_4499_length_534_cov_0_336562	534
BP33_NODE_67_length_2239_cov_4_012748	2239
BP33_NODE_68_length_2238_cov_4_020784	2238
BP33_NODE_458_length_623_cov_0_603586	623
BP33_NODE_496_length_591_cov_0_719149	591
BP33_NODE_557_length_553_cov_0_368056	553
BP35_NODE_8_length_6159_cov_3073_471514	6159
BP35_NODE_213_length_833_cov_0_349719	833
BP36_NODE_2_length_9548_cov_2100_318023	9548
BP40_NODE_90_length_1216_cov_0_330594	1216
BP41_NODE_58_length_1673_cov_1_585052	1673
BP41_NODE_69_length_1514_cov_0_481694	1514
BP41_NODE_319_length_612_cov_0_517312	612
BP41_NODE_390_length_542_cov_0_180523	542
BP45_NODE_11_length_4402_cov_6_114693	4402
BP45_NODE_92_length_919_cov_0_344612	919
BP45_NODE_93_length_910_cov_0_319392	910
BP46_NODE_44_length_2466_cov_347_055011	2466
BP46_NODE_125_length_1596_cov_24_035932	1596
BP46_NODE_153_length_1397_cov_0_586207	1397
BP46_NODE_295_length_957_cov_0_651914	957
BP46_NODE_318_length_910_cov_0_432193	910
BP46_NODE_345_length_874_cov_0_529880	874
BP46_NODE_352_length_862_cov_0_502024	862
BP46_NODE_357_length_852_cov_0_837209	852
BP46_NODE_376_length_822_cov_0_664765	822
BP46_NODE_562_length_642_cov_0_130518	642
BP47_NODE_3_length_3070_cov_3_738555	3070
BP47_NODE_6_length_2208_cov_4_185913	2208
BP47_NODE_68_length_590_cov_3_319829	590
BP48_NODE_9_length_4882_cov_1_115312	4882
BP48_NODE_37_length_1861_cov_5_466667	1861
BP48_NODE_155_length_599_cov_1_767782	599
BP49_NODE_25_length_4750_cov_1_478505	4750
BP49_NODE_40_length_3549_cov_1_069428	3549
BP49_NODE_430_length_839_cov_0_401114	839
BP49_NODE_501_length_762_cov_0_374415	762
BP49_NODE_1003_length_523_cov_0_104478	523
BP4_NODE_2_length_3636_cov_10_518634	3636
BP4_NODE_24_length_1121_cov_31_277000	1121
BP4_NODE_30_length_853_cov_0_428962	853
BP4_NODE_79_length_542_cov_0_441805	542
BP4_NODE_84_length_527_cov_0_214286	527
BP4_NODE_89_length_503_cov_0_507853	503
BP50_NODE_26_length_3613_cov_14_785510	3613
BP50_NODE_110_length_1782_cov_1_016857	1782
BP50_NODE_154_length_1499_cov_0_468070	1499
BP50_NODE_197_length_1367_cov_0_160514	1367
BP50_NODE_219_length_1320_cov_0_693078	1320
BP50_NODE_264_length_1225_cov_0_592391	1225
BP50_NODE_302_length_1167_cov_0_637667	1167
BP50_NODE_317_length_1145_cov_0_658203	1145
BP50_NODE_358_length_1091_cov_0_391753	1091
BP50_NODE_428_length_1020_cov_0_508343	1020
BP50_NODE_446_length_1001_cov_0_543182	1001
BP50_NODE_469_length_981_cov_0_194186	981
BP50_NODE_549_length_922_cov_0_282147	922
BP50_NODE_627_length_869_cov_0_276738	869
BP50_NODE_706_length_821_cov_0_235714	821
BP50_NODE_925_length_721_cov_1_171667	721
BP50_NODE_965_length_709_cov_0_205782	709
BP50_NODE_1055_length_682_cov_0_151515	682
BP50_NODE_1178_length_649_cov_0_412879	649
BP50_NODE_1180_length_649_cov_0_261364	649
BP50_NODE_1463_length_585_cov_0_310345	585
BP50_NODE_1512_length_576_cov_0_189011	576
BP50_NODE_1828_length_527_cov_0_482759	527
BP50_NODE_1835_length_526_cov_0_320988	526
BP50_NODE_2021_length_501_cov_0_239474	501
BP5_NODE_22_length_1016_cov_0_168715	1016
BP7_NODE_17_length_1223_cov_0_216878	1223
BP7_NODE_52_length_724_cov_0_452736	724
BP7_NODE_90_length_574_cov_0_792494	574
BP8_NODE_15_length_1380_cov_0_735504	1380
BP8_NODE_20_length_1254_cov_0_402471	1254
BP8_NODE_32_length_1057_cov_0_614316	1057
BP9_NODE_3_length_2331_cov_1_877828	2331
BP9_NODE_47_length_942_cov_0_438490	942
BP9_NODE_116_length_578_cov_0_595186	578
BeeP-02-2013_NODE_6_length_1566_cov_9047_734050	1566
BeeP-02-2013_NODE_101_length_518_cov_1_024943	518
BeeP-02-2013_NODE_107_length_504_cov_1_395785	504
BeeP-05-2013_NODE_48_length_3536_cov_9_147152	3536
BeeP-05-2013_NODE_62_length_3191_cov_6_966281	3191
BeeP-05-2013_NODE_147_length_1940_cov_7_523886	1940
BeeP-05-2013_NODE_156_length_1854_cov_5_739449	1854
BeeP-05-2013_NODE_167_length_1819_cov_4_941447	1819
BeeP-05-2013_NODE_296_length_1239_cov_7_220310	1239
BeeP-05-2013_NODE_415_length_973_cov_2_263393	973
BeeP-05-2013_NODE_428_length_946_cov_1_144994	946
BeeP-05-2013_NODE_551_length_764_cov_3_251820	764
BeeP-05-2013_NODE_665_length_669_cov_1_190878	669
BeeP-05-2013_NODE_900_length_526_cov_2_104677	526
BeeP-06-2013_NODE_2_length_8185_cov_11_613468	8185
BeeP-06-2013_NODE_4_length_6740_cov_16_976137	6740
BeeP-06-2013_NODE_5_length_6698_cov_7_883854	6698
BeeP-06-2013_NODE_7_length_5738_cov_8_993817	5738
BeeP-06-2013_NODE_8_length_5710_cov_10_262915	5710
BeeP-06-2013_NODE_10_length_5393_cov_10_220090	5393
BeeP-06-2013_NODE_13_length_4644_cov_13_156996	4644
BeeP-06-2013_NODE_14_length_4513_cov_9_514878	4513
BeeP-06-2013_NODE_15_length_4509_cov_7_532040	4509
BeeP-06-2013_NODE_17_length_4306_cov_7_544810	4306
BeeP-06-2013_NODE_18_length_4289_cov_6_701804	4289
BeeP-06-2013_NODE_19_length_4246_cov_16_463900	4246
BeeP-06-2013_NODE_20_length_4083_cov_12_030205	4083
BeeP-06-2013_NODE_23_length_3545_cov_12_045559	3545
BeeP-06-2013_NODE_24_length_3518_cov_8_395234	3518
BeeP-06-2013_NODE_25_length_3456_cov_9_244451	3456
BeeP-06-2013_NODE_26_length_3423_cov_6_292289	3423
BeeP-06-2013_NODE_27_length_3404_cov_6_471295	3404
BeeP-06-2013_NODE_28_length_3373_cov_6_113167	3373
BeeP-06-2013_NODE_33_length_3269_cov_12_456140	3269
BeeP-06-2013_NODE_37_length_3159_cov_3_247242	3159
BeeP-06-2013_NODE_41_length_3066_cov_13_208096	3066
BeeP-06-2013_NODE_45_length_2951_cov_5_032359	2951
BeeP-06-2013_NODE_49_length_2901_cov_20_094901	2901
BeeP-06-2013_NODE_53_length_2828_cov_2_313341	2828
BeeP-06-2013_NODE_56_length_2715_cov_15_101971	2715
BeeP-06-2013_NODE_58_length_2692_cov_21_229063	2692
BeeP-06-2013_NODE_59_length_2668_cov_5_851023	2668
BeeP-06-2013_NODE_60_length_2658_cov_7_420767	2658
BeeP-06-2013_NODE_63_length_2614_cov_13_061884	2614
BeeP-06-2013_NODE_65_length_2571_cov_4_069366	2571
BeeP-06-2013_NODE_66_length_2542_cov_4_605274	2542
BeeP-06-2013_NODE_67_length_2522_cov_6_479755	2522
BeeP-06-2013_NODE_70_length_2494_cov_8_662391	2494
BeeP-06-2013_NODE_74_length_2424_cov_18_746911	2424
BeeP-06-2013_NODE_75_length_2418_cov_9_460487	2418
BeeP-06-2013_NODE_76_length_2414_cov_11_245186	2414
BeeP-06-2013_NODE_78_length_2372_cov_11_697603	2372
BeeP-06-2013_NODE_79_length_2365_cov_5_208916	2365
BeeP-06-2013_NODE_80_length_2340_cov_3_568272	2340
BeeP-06-2013_NODE_82_length_2310_cov_6_583520	2310
BeeP-06-2013_NODE_83_length_2300_cov_6_294197	2300
BeeP-06-2013_NODE_85_length_2272_cov_8_191800	2272
BeeP-06-2013_NODE_91_length_2228_cov_9_404928	2228
BeeP-06-2013_NODE_92_length_2215_cov_15_882133	2215
BeeP-06-2013_NODE_93_length_2200_cov_6_254357	2200
BeeP-06-2013_NODE_94_length_2195_cov_8_073654	2195
BeeP-06-2013_NODE_96_length_2176_cov_9_505479	2176
BeeP-06-2013_NODE_105_length_2115_cov_13_843965	2115
BeeP-06-2013_NODE_106_length_2114_cov_9_767796	2114
BeeP-06-2013_NODE_109_length_2101_cov_7_228755	2101
BeeP-06-2013_NODE_111_length_2084_cov_8_534131	2084
BeeP-06-2013_NODE_116_length_2058_cov_14_855124	2058
BeeP-06-2013_NODE_117_length_2057_cov_3_948990	2057
BeeP-06-2013_NODE_122_length_2030_cov_5_217614	2030
BeeP-06-2013_NODE_126_length_2001_cov_6_218295	2001
BeeP-06-2013_NODE_127_length_1999_cov_10_385016	1999
BeeP-06-2013_NODE_128_length_1993_cov_5_572025	1993
BeeP-06-2013_NODE_130_length_1975_cov_8_355111	1975
BeeP-06-2013_NODE_132_length_1974_cov_11_909858	1974
BeeP-06-2013_NODE_134_length_1958_cov_9_641680	1958
BeeP-06-2013_NODE_135_length_1957_cov_3_452128	1957
BeeP-06-2013_NODE_140_length_1892_cov_9_534986	1892
BeeP-06-2013_NODE_144_length_1872_cov_26_261838	1872
BeeP-06-2013_NODE_147_length_1812_cov_9_544092	1812
BeeP-06-2013_NODE_148_length_1810_cov_5_717830	1810
BeeP-06-2013_NODE_149_length_1802_cov_18_743188	1802
BeeP-06-2013_NODE_152_length_1775_cov_4_231449	1775
BeeP-06-2013_NODE_154_length_1751_cov_12_921744	1751
BeeP-06-2013_NODE_155_length_1751_cov_4_207885	1751
BeeP-06-2013_NODE_157_length_1742_cov_3_831832	1742
BeeP-06-2013_NODE_159_length_1722_cov_47_822492	1722
BeeP-06-2013_NODE_162_length_1706_cov_4_292818	1706
BeeP-06-2013_NODE_166_length_1660_cov_5_165509	1660
BeeP-06-2013_NODE_170_length_1647_cov_3_730573	1647
BeeP-06-2013_NODE_173_length_1639_cov_4_573624	1639
BeeP-06-2013_NODE_175_length_1626_cov_6_395739	1626
BeeP-06-2013_NODE_178_length_1603_cov_6_871560	1603
BeeP-06-2013_NODE_180_length_1600_cov_9_665791	1600
BeeP-06-2013_NODE_183_length_1562_cov_22_905724	1562
