dataset,Country,TaxFamily,TaxRed
DRR028884,JPN,Formicidae,Formicidae
DRR028889,JPN,Formicidae,Formicidae
DRR028891,JPN,Formicidae,Formicidae
DRR029066,GUF,Formicidae,Formicidae
DRR029067,GUF,Formicidae,Formicidae
DRR029068,GUF,Formicidae,Formicidae
DRR029069,GUF,Formicidae,Formicidae
DRR029070,GUF,Formicidae,Formicidae
DRR029071,GUF,Formicidae,Formicidae
DRR029072,GUF,Formicidae,Formicidae
DRR029073,GUF,Formicidae,Formicidae
DRR029074,GUF,Formicidae,Formicidae
DRR029075,GUF,Formicidae,Formicidae
DRR029076,GUF,Formicidae,Formicidae
DRR029077,GUF,Formicidae,Formicidae
DRR029078,GUF,Formicidae,Formicidae
DRR029079,GUF,Formicidae,Formicidae
DRR029080,GUF,Formicidae,Formicidae
DRR029081,GUF,Formicidae,Formicidae
DRR029082,GUF,Formicidae,Formicidae
DRR029083,GUF,Formicidae,Formicidae
DRR029084,GUF,Formicidae,Formicidae
DRR029085,GUF,Formicidae,Formicidae
DRR029086,GUF,Formicidae,Formicidae
DRR029087,GUF,Formicidae,Formicidae
DRR029088,GUF,Formicidae,Formicidae
DRR029089,GUF,Formicidae,Formicidae
DRR029090,USA,Formicidae,Formicidae
DRR029093,USA,Formicidae,Formicidae
DRR029095,USA,Formicidae,Formicidae
DRR029096,USA,Formicidae,Formicidae
DRR029097,USA,Formicidae,Formicidae
DRR029098,USA,Formicidae,Formicidae
DRR029626,USA,Formicidae,Formicidae
DRR029857,USA,Formicidae,Formicidae
DRR029858,USA,Formicidae,Formicidae
DRR029859,USA,Formicidae,Formicidae
DRR029860,USA,Formicidae,Formicidae
DRR029861,USA,Formicidae,Formicidae
DRR029862,USA,Formicidae,Formicidae
DRR030160,JPN,Formicidae,Formicidae
DRR030161,JPN,Formicidae,Formicidae
DRR030166,JPN,Formicidae,Formicidae
DRR042077,FIN,Formicidae,Formicidae
DRR042083,FIN,Formicidae,Formicidae
DRR042084,FIN,Formicidae,Formicidae
DRR042085,FIN,Formicidae,Formicidae
DRR042091,FIN,Formicidae,Formicidae
DRR042093,FIN,Formicidae,Formicidae
DRR042094,FIN,Formicidae,Formicidae
DRR042095,FIN,Formicidae,Formicidae
DRR042099,FIN,Formicidae,Formicidae
DRR042101,FIN,Formicidae,Formicidae
DRR042103,FIN,Formicidae,Formicidae
DRR042105,FIN,Formicidae,Formicidae
DRR042106,FIN,Formicidae,Formicidae
DRR042107,FIN,Formicidae,Formicidae
DRR042108,FIN,Formicidae,Formicidae
DRR042109,FIN,Formicidae,Formicidae
DRR042111,FIN,Formicidae,Formicidae
DRR042112,FIN,Formicidae,Formicidae
DRR042113,FIN,Formicidae,Formicidae
DRR042117,ESP,Formicidae,Formicidae
DRR042118,ESP,Formicidae,Formicidae
DRR042119,ESP,Formicidae,Formicidae
DRR042120,ESP,Formicidae,Formicidae
DRR042121,ESP,Formicidae,Formicidae
DRR042122,ESP,Formicidae,Formicidae
DRR042123,FRA,Formicidae,Formicidae
DRR042124,FRA,Formicidae,Formicidae
DRR042125,FRA,Formicidae,Formicidae
DRR042126,FRA,Formicidae,Formicidae
DRR042127,FRA,Formicidae,Formicidae
DRR042128,FRA,Formicidae,Formicidae
DRR042131,TUR,Formicidae,Formicidae
DRR042133,TUR,Formicidae,Formicidae
DRR042134,TUR,Formicidae,Formicidae
DRR042135,JPN,Formicidae,Formicidae
DRR042136,JPN,Formicidae,Formicidae
DRR042137,JPN,Formicidae,Formicidae
DRR042138,JPN,Formicidae,Formicidae
DRR042139,JPN,Formicidae,Formicidae
DRR042140,JPN,Formicidae,Formicidae
DRR042141,DNK,Formicidae,Formicidae
DRR042142,DNK,Formicidae,Formicidae
DRR042143,DNK,Formicidae,Formicidae
DRR042147,DNK,Formicidae,Formicidae
DRR042148,DNK,Formicidae,Formicidae
DRR042149,DNK,Formicidae,Formicidae
DRR042150,DNK,Formicidae,Formicidae
DRR042152,DNK,Formicidae,Formicidae
DRR042153,FIN,Formicidae,Formicidae
DRR042154,FIN,Formicidae,Formicidae
DRR042155,FIN,Formicidae,Formicidae
DRR042156,FIN,Formicidae,Formicidae
DRR042157,FIN,Formicidae,Formicidae
DRR042158,FIN,Formicidae,Formicidae
DRR042159,DNK,Formicidae,Formicidae
DRR042160,DNK,Formicidae,Formicidae
DRR042161,DNK,Formicidae,Formicidae
DRR042162,DNK,Formicidae,Formicidae
DRR042163,DNK,Formicidae,Formicidae
DRR042164,DNK,Formicidae,Formicidae
DRR042165,USA,Formicidae,Formicidae
DRR042166,USA,Formicidae,Formicidae
DRR042167,USA,Formicidae,Formicidae
DRR042168,USA,Formicidae,Formicidae
DRR042169,USA,Formicidae,Formicidae
DRR042170,USA,Formicidae,Formicidae
DRR042171,USA,Formicidae,Formicidae
DRR042172,USA,Formicidae,Formicidae
DRR042173,USA,Formicidae,Formicidae
DRR042174,USA,Formicidae,Formicidae
DRR042175,USA,Formicidae,Formicidae
DRR042176,USA,Formicidae,Formicidae
DRR048423,USA,Formicidae,Formicidae
DRR048427,USA,Formicidae,Formicidae
DRR048428,USA,Formicidae,Formicidae
DRR048431,USA,Formicidae,Formicidae
DRR048435,USA,Formicidae,Formicidae
DRR048436,USA,Formicidae,Formicidae
DRR129220,JPN,Apidae,Apidae
DRR140508,FIN,Formicidae,Formicidae
DRR140512,FIN,Formicidae,Formicidae
DRR140521,FIN,Formicidae,Formicidae
DRR140522,FIN,Formicidae,Formicidae
DRR140524,FIN,Formicidae,Formicidae
DRR140526,FIN,Formicidae,Formicidae
DRR140529,FIN,Formicidae,Formicidae
DRR140530,FIN,Formicidae,Formicidae
ERR1333211,,Orussidae,Others
ERR1354108,,Cynipidae,Others
ERR1354112,,Cynipidae,Others
ERR173162,PAN,Vespidae,Vespidae
ERR1992770,GBR,Formicidae,Formicidae
ERR225813,PAN,Vespidae,Vespidae
ERR225814,PAN,Vespidae,Vespidae
ERR225815,PAN,Vespidae,Vespidae
ERR2360035,,Formicidae,Formicidae
ERR413297,GBR,Apidae,Apidae
ERR413298,GBR,Apidae,Apidae
ERR413299,GBR,Apidae,Apidae
ERR413300,GBR,Apidae,Apidae
ERR413303,GBR,Apidae,Apidae
ERR413304,GBR,Apidae,Apidae
ERR413305,GBR,Apidae,Apidae
ERR528752,GBR,Apidae,Apidae
ERR528753,GBR,Apidae,Apidae
ERR528754,GBR,Apidae,Apidae
ERR766212,IND,Trichogammatidae,Others
ERR791800,,Ichneumonidae,Others
ERR883786,GBR,Apidae,Apidae
ERR968678,CZE,Apidae,Apidae
ERR968679,CZE,Apidae,Apidae
SRR1015499,PAN,Formicidae,Formicidae
SRR1015503,PAN,Formicidae,Formicidae
SRR1015511,PAN,Formicidae,Formicidae
SRR1015515,PAN,Formicidae,Formicidae
SRR1015516,PAN,Formicidae,Formicidae
SRR1015523,PAN,Formicidae,Formicidae
SRR1015524,PAN,Formicidae,Formicidae
SRR1015525,PAN,Formicidae,Formicidae
SRR1015527,PAN,Formicidae,Formicidae
SRR1015529,PAN,Formicidae,Formicidae
SRR1015531,PAN,Formicidae,Formicidae
SRR1015532,PAN,Formicidae,Formicidae
SRR1015533,PAN,Formicidae,Formicidae
SRR1106144,BRA,Formicidae,Formicidae
SRR1106145,BRA,Formicidae,Formicidae
SRR1182310,,Apidae,Apidae
SRR1182312,,Apidae,Apidae
SRR1182313,,Apidae,Apidae
SRR1182528,USA,Apidae,Apidae
SRR1182529,USA,Apidae,Apidae
SRR1182578,USA,Apidae,Apidae
SRR1182579,USA,Apidae,Apidae
SRR1182580,USA,Apidae,Apidae
SRR1182581,USA,Apidae,Apidae
SRR1182637,USA,Apidae,Apidae
SRR1182638,USA,Apidae,Apidae
SRR1182639,USA,Apidae,Apidae
SRR1182640,USA,Apidae,Apidae
SRR1182641,USA,Apidae,Apidae
SRR1182642,USA,Apidae,Apidae
SRR1217438,USA,Vespidae,Vespidae
SRR1217593,USA,Vespidae,Vespidae
SRR1217626,USA,Vespidae,Vespidae
SRR1217672,USA,Vespidae,Vespidae
SRR1217673,USA,Vespidae,Vespidae
SRR1217684,USA,Vespidae,Vespidae
SRR1217709,USA,Vespidae,Vespidae
SRR1217710,USA,Vespidae,Vespidae
SRR1217711,USA,Vespidae,Vespidae
SRR1217712,USA,Vespidae,Vespidae
SRR1217713,USA,Vespidae,Vespidae
SRR1217714,USA,Vespidae,Vespidae
SRR1217715,USA,Vespidae,Vespidae
SRR1217716,USA,Vespidae,Vespidae
SRR1217717,USA,Vespidae,Vespidae
SRR1217718,USA,Vespidae,Vespidae
SRR1239302,USA,Apidae,Apidae
SRR1239303,USA,Apidae,Apidae
SRR1239304,USA,Apidae,Apidae
SRR1239305,USA,Apidae,Apidae
SRR1239306,USA,Apidae,Apidae
SRR1239307,USA,Apidae,Apidae
SRR1239308,USA,Apidae,Apidae
SRR1239309,USA,Apidae,Apidae
SRR1239310,USA,Apidae,Apidae
SRR1239311,USA,Apidae,Apidae
SRR1239312,USA,Apidae,Apidae
SRR1239313,USA,Apidae,Apidae
SRR1254947,USA,Apidae,Apidae
SRR1254950,USA,Apidae,Apidae
SRR1254951,USA,Apidae,Apidae
SRR1254952,USA,Apidae,Apidae
SRR1254954,USA,Apidae,Apidae
SRR1254956,USA,Apidae,Apidae
SRR1254957,USA,Apidae,Apidae
SRR1254958,USA,Apidae,Apidae
SRR1254959,USA,Apidae,Apidae
SRR1254960,USA,Apidae,Apidae
SRR1255009,USA,Apidae,Apidae
SRR1255010,USA,Apidae,Apidae
SRR1255011,USA,Apidae,Apidae
SRR1255012,USA,Apidae,Apidae
SRR1255013,USA,Apidae,Apidae
SRR1255014,USA,Apidae,Apidae
SRR1255064,USA,Apidae,Apidae
SRR1255065,USA,Apidae,Apidae
SRR1255066,USA,Apidae,Apidae
SRR1255068,USA,Apidae,Apidae
SRR1255149,USA,Apidae,Apidae
SRR1255150,USA,Apidae,Apidae
SRR1255152,USA,Apidae,Apidae
SRR1255153,USA,Apidae,Apidae
SRR1255154,USA,Apidae,Apidae
SRR1255260,USA,Apidae,Apidae
SRR1255326,USA,Apidae,Apidae
SRR1255456,USA,Apidae,Apidae
SRR1255541,USA,Apidae,Apidae
SRR1255542,USA,Apidae,Apidae
SRR1255543,USA,Apidae,Apidae
SRR1255544,USA,Apidae,Apidae
SRR1255545,USA,Apidae,Apidae
SRR1255546,USA,Apidae,Apidae
SRR1269199,USA,Apidae,Apidae
SRR1284947,USA,Apidae,Apidae
SRR1300620,USA,Formicidae,Formicidae
SRR1380976,KOR,Apidae,Apidae
SRR1380984,KOR,Apidae,Apidae
SRR1386316,KOR,Apidae,Apidae
SRR1388774,KOR,Apidae,Apidae
SRR1390626,CHN,Vespidae,Vespidae
SRR1406762,KOR,Apidae,Apidae
SRR1407793,KOR,Apidae,Apidae
SRR1408090,KOR,Apidae,Apidae
SRR1477338,USA,Formicidae,Formicidae
SRR1502920,ISR,Apidae,Apidae
SRR1502924,ZAF,Agaonidae,Others
SRR1502929,DEU,Platygastridae,Others
SRR1502931,DEU,Ceraphronidae,Others
SRR1502940,ISR,Apidae,Apidae
SRR1502942,ZAF,Eurytomidae,Others
SRR1502945,DEU,Apidae,Apidae
SRR1502950,ISR,Crabronidae,Others
SRR1502954,HND,Ichneumonidae,Others
SRR1502962,ZAF,Agaonidae,Others
SRR1502968,DEU,Vespidae,Vespidae
SRR1502970,CHE,Ichneumonidae,Others
SRR1502971,DEU,Aphelinidae,Others
SRR1502975,GRC,Halictidae,Halictidae
SRR1502976,AUS,Vespidae,Vespidae
SRR1502977,DEU,Vespidae,Vespidae
SRR1502985,DEU,Vespidae,Vespidae
SRR1502995,SWE,Ichneumonidae,Others
SRR1503000,SWE,Ichneumonidae,Others
SRR1503003,SWE,Ichneumonidae,Others
SRR1503008,DEU,Ampulicidae,Others
SRR1503014,DEU,Vespidae,Vespidae
SRR1503018,DEU,Vespidae,Vespidae
SRR1503019,DEU,Vespidae,Vespidae
SRR1503020,ISR,Masaridae,Others
SRR1503044,AUS,Apidae,Apidae
SRR1503058,DEU,Vespidae,Vespidae
SRR1503060,DEU,Crabronidae,Others
SRR1503081,AUS,Braconidae,Braconidae
SRR1503107,DEU,Vespidae,Vespidae
SRR1503108,DEU,Vespidae,Vespidae
SRR1503110,ITA,Vespidae,Vespidae
SRR1503113,DEU,Apidae,Apidae
SRR1503127,DEU,Colletidae,Others
SRR1503150,USA,Cimbicidae,Others
SRR1503154,DEU,Aphelinidae,Others
SRR1503155,DEU,Braconidae,Braconidae
SRR1565472,BRA,Formicidae,Formicidae
SRR1565735,BRA,Formicidae,Formicidae
SRR1571716,AUS,Apidae,Apidae
SRR1571717,AUS,Apidae,Apidae
SRR1571719,AUS,Apidae,Apidae
SRR1571720,AUS,Apidae,Apidae
SRR1571721,AUS,Apidae,Apidae
SRR1571722,AUS,Apidae,Apidae
SRR1571723,AUS,Apidae,Apidae
SRR1571724,AUS,Apidae,Apidae
SRR1571725,AUS,Apidae,Apidae
SRR1571726,AUS,Apidae,Apidae
SRR1571727,AUS,Apidae,Apidae
SRR1571728,AUS,Apidae,Apidae
SRR1571729,AUS,Apidae,Apidae
SRR1571730,AUS,Apidae,Apidae
SRR1571731,AUS,Apidae,Apidae
SRR1582004,USA,Apidae,Apidae
SRR1582203,USA,Apidae,Apidae
SRR1582755,USA,Megachilidae,Megachilidae
SRR1582758,USA,Megachilidae,Megachilidae
SRR1582761,USA,Megachilidae,Megachilidae
SRR1584245,USA,Megachilidae,Megachilidae
SRR1584247,USA,Megachilidae,Megachilidae
SRR1584250,USA,Megachilidae,Megachilidae
SRR1584252,USA,Megachilidae,Megachilidae
SRR1584253,USA,Megachilidae,Megachilidae
SRR1584256,USA,Megachilidae,Megachilidae
SRR1584274,USA,Megachilidae,Megachilidae
SRR1584346,USA,Megachilidae,Megachilidae
SRR1609919,DEU,Formicidae,Formicidae
SRR1653580,KOR,Apidae,Apidae
SRR1653592,KOR,Apidae,Apidae
SRR1653605,KOR,Apidae,Apidae
SRR1662285,NZL,Apidae,Apidae
SRR1662286,NZL,Apidae,Apidae
SRR1662287,NZL,Apidae,Apidae
SRR1662288,NZL,Apidae,Apidae
SRR1662289,NZL,Apidae,Apidae
SRR1662290,NZL,Apidae,Apidae
SRR1662291,NZL,Apidae,Apidae
SRR1662292,NZL,Apidae,Apidae
SRR1662295,NZL,Apidae,Apidae
SRR1743363,USA,Formicidae,Formicidae
SRR1790682,USA,Apidae,Apidae
SRR1790683,USA,Apidae,Apidae
SRR1790684,USA,Apidae,Apidae
SRR1790687,USA,Apidae,Apidae
SRR1801940,USA,Formicidae,Formicidae
SRR1803055,USA,Formicidae,Formicidae
SRR1803084,USA,Formicidae,Formicidae
SRR1803085,USA,Formicidae,Formicidae
SRR1803087,USA,Formicidae,Formicidae
SRR1803088,USA,Formicidae,Formicidae
SRR1803104,USA,Formicidae,Formicidae
SRR1803107,USA,Formicidae,Formicidae
SRR1803126,USA,Formicidae,Formicidae
SRR1803131,USA,Formicidae,Formicidae
SRR1803145,USA,Formicidae,Formicidae
SRR1805073,CAN,Torymidae,Others
SRR1805097,CAN,Torymidae,Others
SRR1805105,CAN,Torymidae,Others
SRR1805115,CAN,Torymidae,Others
SRR1805217,USA,Formicidae,Formicidae
SRR1805226,USA,Formicidae,Formicidae
SRR1806798,BRA,Formicidae,Formicidae
SRR1806799,BRA,Formicidae,Formicidae
SRR1806800,BRA,Formicidae,Formicidae
SRR1806802,BRA,Formicidae,Formicidae
SRR1806803,BRA,Formicidae,Formicidae
SRR1806804,BRA,Formicidae,Formicidae
SRR1806805,BRA,Formicidae,Formicidae
SRR1806807,BRA,Formicidae,Formicidae
SRR1806808,BRA,Formicidae,Formicidae
SRR1806809,BRA,Formicidae,Formicidae
SRR1806810,BRA,Formicidae,Formicidae
SRR1806812,BRA,Formicidae,Formicidae
SRR1806813,BRA,Formicidae,Formicidae
SRR1806815,BRA,Formicidae,Formicidae
SRR1806816,BRA,Formicidae,Formicidae
SRR1806817,BRA,Formicidae,Formicidae
SRR1806818,BRA,Formicidae,Formicidae
SRR1806819,BRA,Formicidae,Formicidae
SRR1806820,BRA,Formicidae,Formicidae
SRR1806821,BRA,Formicidae,Formicidae
SRR1806823,BRA,Formicidae,Formicidae
SRR1811926,DEU,Vespidae,Vespidae
SRR1812778,CHN,Braconidae,Braconidae
SRR1812779,CHN,Braconidae,Braconidae
SRR1812780,CHN,Braconidae,Braconidae
SRR1812781,CHN,Braconidae,Braconidae
SRR1812782,CHN,Braconidae,Braconidae
SRR1812783,CHN,Braconidae,Braconidae
SRR1812784,CHN,Braconidae,Braconidae
SRR1812785,CHN,Braconidae,Braconidae
SRR1812786,CHN,Braconidae,Braconidae
SRR1864696,,Encyrtidae,Others
SRR1914351,CHN,Apidae,Apidae
SRR1945261,ESP,Formicidae,Formicidae
SRR1947301,ESP,Formicidae,Formicidae
SRR1948182,ESP,Formicidae,Formicidae
SRR1948230,ESP,Formicidae,Formicidae
SRR1948236,ESP,Formicidae,Formicidae
SRR1948272,ESP,Formicidae,Formicidae
SRR1986846,USA,Formicidae,Formicidae
SRR1986848,USA,Formicidae,Formicidae
SRR2001766,USA,Halictidae,Halictidae
SRR2032844,MEX,Apidae,Apidae
SRR2032857,MEX,Apidae,Apidae
SRR2032907,MEX,Apidae,Apidae
SRR2032930,MEX,Apidae,Apidae
SRR2033014,MEX,Apidae,Apidae
SRR2033015,MEX,Apidae,Apidae
SRR2033892,BRA,Formicidae,Formicidae
SRR2033893,BRA,Formicidae,Formicidae
SRR2033895,BRA,Formicidae,Formicidae
SRR2033896,BRA,Formicidae,Formicidae
SRR2033897,BRA,Formicidae,Formicidae
SRR2033898,BRA,Formicidae,Formicidae
SRR2033899,BRA,Formicidae,Formicidae
SRR2033900,BRA,Formicidae,Formicidae
SRR2033901,BRA,Formicidae,Formicidae
SRR2033902,BRA,Formicidae,Formicidae
SRR2033903,BRA,Formicidae,Formicidae
SRR2033904,BRA,Formicidae,Formicidae
SRR2033905,BRA,Formicidae,Formicidae
SRR2033979,USA,Apidae,Apidae
SRR2034245,USA,Apidae,Apidae
SRR2034249,USA,Apidae,Apidae
SRR2034253,USA,Apidae,Apidae
SRR2034262,USA,Apidae,Apidae
SRR2034266,USA,Apidae,Apidae
SRR2034269,USA,Apidae,Apidae
SRR2034271,USA,Apidae,Apidae
SRR2050522,USA,Formicidae,Formicidae
SRR2050523,USA,Formicidae,Formicidae
SRR2050524,USA,Formicidae,Formicidae
SRR2050525,USA,Formicidae,Formicidae
SRR2050526,USA,Formicidae,Formicidae
SRR2050529,USA,Formicidae,Formicidae
SRR2050530,USA,Formicidae,Formicidae
SRR2050531,USA,Formicidae,Formicidae
SRR2050532,USA,Formicidae,Formicidae
SRR2050533,USA,Formicidae,Formicidae
SRR2050534,USA,Formicidae,Formicidae
SRR2050535,USA,Formicidae,Formicidae
SRR2050536,USA,Formicidae,Formicidae
SRR2050537,USA,Formicidae,Formicidae
SRR2060721,USA,Formicidae,Formicidae
SRR2060724,IND,Formicidae,Formicidae
SRR2060780,PAN,Halictidae,Halictidae
SRR2060782,PAN,Halictidae,Halictidae
SRR2060783,PAN,Halictidae,Halictidae
SRR2060786,PAN,Halictidae,Halictidae
SRR2060793,PAN,Halictidae,Halictidae
SRR2060795,PAN,Halictidae,Halictidae
SRR2060797,PAN,Halictidae,Halictidae
SRR2060798,PAN,Halictidae,Halictidae
SRR2060801,PAN,Halictidae,Halictidae
SRR2060802,PAN,Halictidae,Halictidae
SRR2060804,PAN,Halictidae,Halictidae
SRR2060805,PAN,Halictidae,Halictidae
SRR2060806,PAN,Halictidae,Halictidae
SRR2060807,PAN,Halictidae,Halictidae
SRR2060808,PAN,Halictidae,Halictidae
SRR2060809,PAN,Halictidae,Halictidae
SRR2060810,PAN,Halictidae,Halictidae
SRR2060812,PAN,Halictidae,Halictidae
SRR2060813,PAN,Halictidae,Halictidae
SRR2060818,PAN,Halictidae,Halictidae
SRR2064568,USA,Vespidae,Vespidae
SRR2064574,USA,Vespidae,Vespidae
SRR2064585,USA,Vespidae,Vespidae
SRR2064621,USA,Vespidae,Vespidae
SRR2064629,USA,Vespidae,Vespidae
SRR2064630,USA,Vespidae,Vespidae
SRR2064632,USA,Vespidae,Vespidae
SRR2064634,USA,Vespidae,Vespidae
SRR2064640,USA,Vespidae,Vespidae
SRR2064641,USA,Vespidae,Vespidae
SRR2064642,USA,Vespidae,Vespidae
SRR2064643,USA,Vespidae,Vespidae
SRR2064644,USA,Vespidae,Vespidae
SRR2064645,USA,Vespidae,Vespidae
SRR2064646,USA,Vespidae,Vespidae
SRR2064647,USA,Vespidae,Vespidae
SRR2064648,USA,Vespidae,Vespidae
SRR2064689,USA,Vespidae,Vespidae
SRR2064692,USA,Vespidae,Vespidae
SRR2064693,USA,Vespidae,Vespidae
SRR2064695,USA,Vespidae,Vespidae
SRR2064698,USA,Vespidae,Vespidae
SRR2064700,USA,Vespidae,Vespidae
SRR2064701,USA,Vespidae,Vespidae
SRR2064702,USA,Vespidae,Vespidae
SRR2064704,USA,Vespidae,Vespidae
SRR2064705,USA,Vespidae,Vespidae
SRR2064706,USA,Vespidae,Vespidae
SRR2064707,USA,Vespidae,Vespidae
SRR2064708,USA,Vespidae,Vespidae
SRR2064709,USA,Vespidae,Vespidae
SRR2064710,USA,Vespidae,Vespidae
SRR2064711,USA,Vespidae,Vespidae
SRR2080389,FIN,Formicidae,Formicidae
SRR2080396,FIN,Formicidae,Formicidae
SRR2080399,FIN,Formicidae,Formicidae
SRR2080489,FIN,Formicidae,Formicidae
SRR2105774,NLD,Braconidae,Braconidae
SRR2105775,NLD,Braconidae,Braconidae
SRR2105776,NLD,Braconidae,Braconidae
SRR2105777,NLD,Braconidae,Braconidae
SRR2105778,NLD,Braconidae,Braconidae
SRR2105780,NLD,Braconidae,Braconidae
SRR2105781,NLD,Braconidae,Braconidae
SRR2105783,NLD,Braconidae,Braconidae
SRR2105784,NLD,Braconidae,Braconidae
SRR2105786,NLD,Braconidae,Braconidae
SRR2105787,NLD,Braconidae,Braconidae
SRR2105789,NLD,Braconidae,Braconidae
SRR2105790,NLD,Braconidae,Braconidae
SRR2105792,NLD,Braconidae,Braconidae
SRR2105793,NLD,Braconidae,Braconidae
SRR2105795,NLD,Braconidae,Braconidae
SRR2105798,NLD,Braconidae,Braconidae
SRR2105799,NLD,Braconidae,Braconidae
SRR2105801,NLD,Braconidae,Braconidae
SRR2105802,NLD,Braconidae,Braconidae
SRR2105806,NLD,Braconidae,Braconidae
SRR2105807,NLD,Braconidae,Braconidae
SRR2105808,NLD,Braconidae,Braconidae
SRR2105809,NLD,Braconidae,Braconidae
SRR2105811,NLD,Braconidae,Braconidae
SRR2105812,NLD,Braconidae,Braconidae
SRR2105813,NLD,Braconidae,Braconidae
SRR2105815,NLD,Braconidae,Braconidae
SRR2105816,NLD,Braconidae,Braconidae
SRR2105817,NLD,Braconidae,Braconidae
SRR2133895,USA,Vespidae,Vespidae
SRR2133896,USA,Vespidae,Vespidae
SRR2133910,USA,Vespidae,Vespidae
SRR2133911,USA,Vespidae,Vespidae
SRR2146246,,Apidae,Apidae
SRR2146247,,Apidae,Apidae
SRR2146248,,Apidae,Apidae
SRR2146249,,Apidae,Apidae
SRR2146250,,Apidae,Apidae
SRR2146251,,Apidae,Apidae
SRR2177525,BRA,Formicidae,Formicidae
SRR2177526,BRA,Formicidae,Formicidae
SRR2177527,BRA,Formicidae,Formicidae
SRR2177528,BRA,Formicidae,Formicidae
SRR2177529,BRA,Formicidae,Formicidae
SRR2177530,BRA,Formicidae,Formicidae
SRR2177531,BRA,Formicidae,Formicidae
SRR2177532,BRA,Formicidae,Formicidae
SRR2177533,BRA,Formicidae,Formicidae
SRR2177534,BRA,Formicidae,Formicidae
SRR2177535,BRA,Formicidae,Formicidae
SRR2177536,BRA,Formicidae,Formicidae
SRR2177537,BRA,Formicidae,Formicidae
SRR2177538,BRA,Formicidae,Formicidae
SRR2177539,BRA,Formicidae,Formicidae
SRR2177540,BRA,Formicidae,Formicidae
SRR2177541,BRA,Formicidae,Formicidae
SRR2177542,BRA,Formicidae,Formicidae
SRR2177543,BRA,Formicidae,Formicidae
SRR2177544,BRA,Formicidae,Formicidae
SRR2182879,IND,Formicidae,Formicidae
SRR2182909,IND,Formicidae,Formicidae
SRR2182926,IND,Formicidae,Formicidae
SRR2182927,IND,Formicidae,Formicidae
SRR2182943,IND,Formicidae,Formicidae
SRR2396634,ISR,Apidae,Apidae
SRR2396637,ISR,Apidae,Apidae
SRR2649096,PER,Formicidae,Formicidae
SRR2664950,KOR,Vespidae,Vespidae
SRR2773798,,Pteromalidae,Pteromalidae
SRR2895245,DEU,Megachilidae,Megachilidae
SRR2912666,CHN,Braconidae,Braconidae
SRR2912670,CHN,Braconidae,Braconidae
SRR2916026,AUS,Apidae,Apidae
SRR2916652,AUS,Apidae,Apidae
SRR2916653,AUS,Apidae,Apidae
SRR2968845,CHN,Braconidae,Braconidae
SRR2969431,USA,Formicidae,Formicidae
SRR2969433,USA,Formicidae,Formicidae
SRR2969435,USA,Formicidae,Formicidae
SRR2969436,USA,Formicidae,Formicidae
SRR2969437,USA,Formicidae,Formicidae
SRR2969438,USA,Formicidae,Formicidae
SRR2969440,USA,Formicidae,Formicidae
SRR2969447,USA,Formicidae,Formicidae
SRR2980763,FRA,Formicidae,Formicidae
SRR3033249,USA,Apidae,Apidae
SRR3033251,USA,Apidae,Apidae
SRR3033252,USA,Apidae,Apidae
SRR3033253,USA,Apidae,Apidae
SRR3033254,USA,Apidae,Apidae
SRR3033256,USA,Apidae,Apidae
SRR3033257,USA,Apidae,Apidae
SRR3033258,USA,Apidae,Apidae
SRR3033259,USA,Apidae,Apidae
SRR3033261,USA,Apidae,Apidae
SRR3033262,USA,Apidae,Apidae
SRR3033263,USA,Apidae,Apidae
SRR3033264,USA,Apidae,Apidae
SRR3033265,USA,Apidae,Apidae
SRR3033266,USA,Apidae,Apidae
SRR3033268,USA,Apidae,Apidae
SRR3033269,USA,Apidae,Apidae
SRR3033270,USA,Apidae,Apidae
SRR3033271,USA,Apidae,Apidae
SRR3033272,USA,Apidae,Apidae
SRR3033273,USA,Apidae,Apidae
SRR3046455,USA,Pteromalidae,Pteromalidae
SRR3046456,USA,Pteromalidae,Pteromalidae
SRR3046457,USA,Pteromalidae,Pteromalidae
SRR3046458,USA,Pteromalidae,Pteromalidae
SRR3051777,USA,Cephidae,Cephidae
SRR3052011,USA,Cephidae,Cephidae
SRR3095478,CHN,Apidae,Apidae
SRR3095479,CHN,Apidae,Apidae
SRR3095480,CHN,Apidae,Apidae
SRR3095836,CHN,Apidae,Apidae
SRR3095837,CHN,Apidae,Apidae
SRR3095838,CHN,Apidae,Apidae
SRR3095839,CHN,Apidae,Apidae
SRR3095842,CHN,Apidae,Apidae
SRR3095843,CHN,Apidae,Apidae
SRR3095845,CHN,Apidae,Apidae
SRR3095846,CHN,Apidae,Apidae
SRR3095847,CHN,Apidae,Apidae
SRR3095848,CHN,Apidae,Apidae
SRR3095849,CHN,Apidae,Apidae
SRR3095850,CHN,Apidae,Apidae
SRR3095863,CHN,Apidae,Apidae
SRR3095864,CHN,Apidae,Apidae
SRR3095865,CHN,Apidae,Apidae
SRR3095866,CHN,Apidae,Apidae
SRR3095867,CHN,Apidae,Apidae
SRR3095868,CHN,Apidae,Apidae
SRR3095870,CHN,Apidae,Apidae
SRR3095871,CHN,Apidae,Apidae
SRR3095872,CHN,Apidae,Apidae
SRR3095873,CHN,Apidae,Apidae
SRR3095874,CHN,Apidae,Apidae
SRR3095876,CHN,Apidae,Apidae
SRR3124654,USA,Apidae,Apidae
SRR3136329,CHE,Formicidae,Formicidae
