Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;Kind;Tax_family;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash;Land;Location_spec;ISO3;State;Date;REF;VIRAL
SRR1571726;07/09/2015 16:39;09/09/2014 12:54;6185263;1704211791;6185263;275;994;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571726;SRX697855;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699458;SAMN03031441;simple;7460;Apis;Apidae;Apis mellifera;GSM1500799;;;;;;;no;;;;;GEO;SRA183312;;public;4246747C1A72CB15F1732E2D892CF523;C290DF9DE43510B4A390CFEC04CC8C55;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571727;07/09/2015 16:39;09/09/2014 12:54;5270871;1453648807;5270871;275;841;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571727;SRX697856;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699459;SAMN03031442;simple;7460;Apis;Apidae;Apis mellifera;GSM1500800;;;;;;;no;;;;;GEO;SRA183312;;public;FA0079E5001A5EE4655FB889E61317F9;7D77D084899CF3044B0AED38EF739130;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571728;07/09/2015 16:39;09/09/2014 12:55;6794183;1872930491;6794183;275;1089;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571728;SRX697857;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699460;SAMN03031443;simple;7460;Apis;Apidae;Apis mellifera;GSM1500801;;;;;;;no;;;;;GEO;SRA183312;;public;A52E8C244236B1A39BD10A15C4127F98;CBC9780D6CFE19EB713CFDE6E9767184;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571729;07/09/2015 16:39;09/09/2014 12:57;9219846;2553897342;9219846;277;1521;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571729;SRX697858;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699461;SAMN03031444;simple;7460;Apis;Apidae;Apis mellifera;GSM1500802;;;;;;;no;;;;;GEO;SRA183312;;public;7F948928BF6496052800A8BDC7E8565C;639835F8A2C246F49B86E8B4800D433A;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571730;07/09/2015 16:39;09/09/2014 12:56;7148814;1980221478;7148814;277;1178;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571730;SRX697859;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699462;SAMN03031445;simple;7460;Apis;Apidae;Apis mellifera;GSM1500803;;;;;;;no;;;;;GEO;SRA183312;;public;13A9FC1D19D1DE0F8992D0F02D956B43;ECA55E3D91D1289239B150157E02F8C5;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571731;07/09/2015 16:39;09/09/2014 12:56;9195547;2547166519;9195547;277;1520;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571731;SRX697860;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699463;SAMN03031446;simple;7460;Apis;Apidae;Apis mellifera;GSM1500804;;;;;;;no;;;;;GEO;SRA183312;;public;DE41946E75E561846BE7357368AE0AC8;87A2F08E74A8514FD311F323F339A513;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR5117442;31/12/2017 00:01;16/12/2016 22:56;30596625;6180518250;30596625;202;2888;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117442;SRX2432911;QLD;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868453;SAMN06142774;simple;7460;Apis;Apidae;Apis mellifera;QLD;;;;;;;no;;;;;CSIRO;SRA505099;;public;C67E658F039F6189D98422A7EF912802;9F6358BD232A062D562406E0BA73C34B;Australia;Queensland;AUS;NA;2014;NA;NA
SRR5117443;31/12/2017 00:01;16/12/2016 23:05;47106445;9515501890;47106445;202;5169;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117443;SRX2432912;VN2;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868454;SAMN06142771;simple;7460;Apis;Apidae;Apis mellifera;VN2;;;;;;;no;;;;;CSIRO;SRA505099;;public;6CBB3D4BC46BA1C69269453EE64ACCF8;4BF34F80BF6FBCF920C2D82488114D7E;Australia;Victoria and new south wales;AUS;NA;2014;NA;NA
SRR5117444;31/12/2017 00:01;16/12/2016 23:08;59183403;11955047406;59183403;202;6472;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117444;SRX2432913;WA1;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868455;SAMN06142768;simple;7460;Apis;Apidae;Apis mellifera;WA1;;;;;;;no;;;;;CSIRO;SRA505099;;public;2342A15BD096EADD85360713C671E59B;3286FBE8F7B83F09E01261FD29510DDF;Australia;Western Australia;AUS;NA;2013;NA;NA
SRR5117445;31/12/2017 00:01;16/12/2016 23:09;57474336;11609815872;57474336;202;6274;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117445;SRX2432914;VN1;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868456;SAMN06142770;simple;7460;Apis;Apidae;Apis mellifera;VN1;;;;;;;no;;;;;CSIRO;SRA505099;;public;D1A17DFC8461509A56348F133D811D65;36CDAC1C6FFC6D7602E40B670F3D3B96;Australia;Victoria and new south wales;AUS;NA;2013;NA;NA
SRR5117446;31/12/2017 00:01;16/12/2016 22:59;30006123;6061236846;30006123;202;2956;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117446;SRX2432915;NT;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868457;SAMN06142776;simple;7460;Apis;Apidae;Apis mellifera;NT;;;;;;;no;;;;;CSIRO;SRA505099;;public;D8A0E0400E76DBDBE27128DCB98765C2;6E8E32EF5E9383117EA3A1643910BC39;Australia;Northern territory;AUS;NA;2014;NA;NA
SRR5117447;31/12/2017 00:01;16/12/2016 23:40;52856884;10677090568;52856884;202;5783;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117447;SRX2432916;VN3;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868458;SAMN06142772;simple;7460;Apis;Apidae;Apis mellifera;VN3;;;;;;;no;;;;;CSIRO;SRA505099;;public;654E8F96829A47A3C34AC65A10348D1A;8C6510E874CE7B2804635C3684198480;Australia;Victoria and new south wales;AUS;NA;2014;NA;NA
SRR5117448;31/12/2017 00:01;16/12/2016 23:27;39364367;7951602134;39364367;202;3758;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117448;SRX2432917;TAS;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868459;SAMN06142775;simple;7460;Apis;Apidae;Apis mellifera;TAS;;;;;;;no;;;;;CSIRO;SRA505099;;public;DEA84F5438BD3F9F078728B94E87F238;397FE19C84C34C0B487CF4649E54BA28;Australia;Tasmania;AUS;NA;2014;NA;NA
SRR5117449;31/12/2017 00:01;16/12/2016 23:27;48326292;9761910984;48326292;202;5265;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117449;SRX2432918;WA2;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868460;SAMN06142769;simple;7460;Apis;Apidae;Apis mellifera;WA2;;;;;;;no;;;;;CSIRO;SRA505099;;public;6040615471EFF9DCF613C617DE8CC484;34C7F93F4DE5161088884F5578011EFD;Australia;Western Australia;AUS;NA;2014;NA;NA
SRR5117450;31/12/2017 00:01;16/12/2016 23:25;37247121;7523918442;37247121;202;4126;;https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117450;SRX2432919;SA;RNA-Seq;unspecified;VIRAL RNA;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP095271;PRJNA357523;;357523;SRS1868461;SAMN06142773;simple;7460;Apis;Apidae;Apis mellifera;SA;;;;;;;no;;;;;CSIRO;SRA505099;;public;02EBB64FCEBC3A44DE9437DD9E7A42A2;9C5F54A7916FDC2C739AC17916243F8F;Australia;South Australia;AUS;NA;2014;NA;NA
SRR5907690;07/08/2017 19:57;07/08/2017 19:44;20483163;4096632600;20483163;200;1648;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907690;SRX3069213;C3G1H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413642;SAMN07459025;simple;7460;Apis;Apidae;Apis mellifera;C3G1H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;8E2D60E6B380418ECD503E8EA79A0806;EE96BD55BA7DB1F1D929A77599896147;Australia;Sydney;AUS;NA;2015;NA;NA
SRR5907691;07/08/2017 19:42;07/08/2017 19:37;15648126;3129625200;15648126;200;1341;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907691;SRX3069212;C1TC30H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413641;SAMN07459024;simple;7460;Apis;Apidae;Apis mellifera;C1TC30H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;3CD5469FEC2C3E48E4C4D83AAAF0E784;49045E66261B109BCED2413AF26E54C4;Australia;Sydney;AUS;NA;2016;NA;NA
SRR5907693;07/08/2017 19:52;07/08/2017 19:43;18988317;3797663400;18988317;200;1557;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907693;SRX3069210;C3G10H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413644;SAMN07459026;simple;7460;Apis;Apidae;Apis mellifera;C3G10H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;EC3A4BD923AEB81B1515BFA3E7C39C08;7638812195B1AFD00446096A0CCA333B;Australia;Sydney;AUS;NA;2015;NA;NA
SRR5907694;07/08/2017 19:44;07/08/2017 19:38;18775456;3755091200;18775456;200;1587;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907694;SRX3069209;C3G20B;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413645;SAMN07459027;simple;7460;Apis;Apidae;Apis mellifera;C3G20B;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;65320884AA7FF218920E7ECF90BB63F1;BBF1B9079094612CCDCE1E1DF4A61555;Australia;Sydney;AUS;NA;2015;NA;NA
SRR5907695;07/08/2017 19:42;07/08/2017 19:37;19849643;3969928600;19849643;200;1601;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907695;SRX3069208;C1G20H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413646;SAMN07459023;simple;7460;Apis;Apidae;Apis mellifera;C1G20H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;EB2887B3ACEBE886FC68473FCE0EC31F;82D60178B2C8695FB137ED081B68DEEE;Australia;Sydney;AUS;NA;2015;NA;NA
SRR5907696;07/08/2017 19:43;07/08/2017 19:37;17632235;3526447000;17632235;200;1392;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907696;SRX3069207;NC2G20H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413647;SAMN07459032;simple;7460;Apis;Apidae;Apis mellifera;NC2G20H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;90C20EDD41E4546B5018EF3146957EAD;F25FF483B529B4253ACE5E181FC13726;Australia;Sydney;AUS;NA;2014;NA;NA
SRR5907698;07/08/2017 19:59;07/08/2017 19:44;19632982;3926596400;19632982;200;1589;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907698;SRX3069205;C1G1H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413650;SAMN07459019;simple;7460;Apis;Apidae;Apis mellifera;C1G1H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;BE57495A9D806971B3003561A5F5D3B7;62179C93EF5E81C7942D26323143A43E;Australia;Sydney;AUS;NA;2015;NA;NA
SRR5907699;07/08/2017 19:45;07/08/2017 19:38;20632016;4126403200;20632016;200;1672;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907699;SRX3069204;C1G10H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413649;SAMN07459020;simple;7460;Apis;Apidae;Apis mellifera;C1G10H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;0789EAE7534531CF589192AAFD718D13;56AE0C81CC31BACAF1706DF0C245637D;Australia;Sydney;AUS;NA;2015;NA;NA
SRR5907700;07/08/2017 19:45;07/08/2017 19:38;19354853;3870970600;19354853;200;1617;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907700;SRX3069203;C1G20B;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413651;SAMN07459021;simple;7460;Apis;Apidae;Apis mellifera;C1G20B;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;DEBF92C96420C6C6F0DECB7FEE97F640;852CEBD80C1B7EDECA6491CDEB072D9D;Australia;Sydney;AUS;NA;2015;NA;NA
SRR5907701;07/08/2017 19:42;07/08/2017 19:37;19672805;3934561000;19672805;200;1700;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907701;SRX3069202;C3G20C;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413652;SAMN07459028;simple;7460;Apis;Apidae;Apis mellifera;C3G20C;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;92D5754F38835929B5401AD17FF2FB7F;E670446B521B7A89B45CAAD0186B0562;Australia;Sydney;AUS;NA;2015;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4651238/;No
SRR5907702;07/08/2017 19:43;07/08/2017 19:38;21017299;4203459800;21017299;200;1704;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907702;SRX3069201;C3G20H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413653;SAMN07459029;simple;7460;Apis;Apidae;Apis mellifera;C3G20H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;B40E48874977ECB7A66C460E75B6C7EA;F3C81A668461E9E63A074C65A2F04D00;Australia;Sydney;AUS;NA;2015;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4651238/;No
SRR5907703;07/08/2017 19:42;07/08/2017 19:37;16760494;3352098800;16760494;200;1399;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907703;SRX3069200;C3TC30H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413654;SAMN07459030;simple;7460;Apis;Apidae;Apis mellifera;C3TC30H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;663D2413C7C47F6AC305CCD34BE59284;BA217EC2EE1BBD0A0F0216826F44AE7C;Australia;Sydney;AUS;NA;2016;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4651238/;No
SRR5907704;07/08/2017 19:41;07/08/2017 19:37;16444909;3288981800;16444909;200;1325;;https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/005769/SRR5907704;SRX3069199;NC1G20H;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP114989;PRJNA397460;;397460;SRS2413655;SAMN07459031;simple;7460;Apis;Apidae;Apis mellifera;NC1G20H;;;;;female;;no;;;;;UNIVERSITY OF SYDNEY;SRA597154;;public;E139F5E94F9AEC81607E2704C7231B97;5AB151B01C3974709B3C482CAEA16F7F;Australia;Sydney;AUS;NA;2014;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4651238/;No
SRR2916026;06/06/2017 00:00;13/11/2015 12:37;18117410;3623482000;18117410;200;1464;;https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002847/SRR2916026;SRX1430844;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP066158;PRJNA302068;;302068;SRS1161869;SAMN04263879;simple;78185;Hymenoptera;Apidae;Ceratina australensis;Ceratina australensis caRNA03;;;;;;;no;;;;;UNIVERSITY OF NEW HAMPSHIRE;SRA311467;;public;B725B8752EE836E0141F1FD1689083AF;A0B89F76F19E96A3A76E758DC15BB68E;Australia;Queensland;AUS;NA;2014;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4651238/;No
SRR2916652;06/06/2017 00:00;13/11/2015 15:13;17235620;3447124000;17235620;200;1387;;https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002848/SRR2916652;SRX1431767;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP066175;PRJNA302073;;302073;SRS1162784;SAMN04267311;simple;78185;Hymenoptera;Apidae;Ceratina australensis;Ceratina australensis caRNA08;;;;;;;no;;;;;UNIVERSITY OF NEW HAMPSHIRE;SRA311502;;public;8AA022477BB058C5C115DA08A56628A0;600A16C8C5C666C9012E740C14A91E36;Australia;Queensland;AUS;NA;2014;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4651238/;No
